Title,Author,Publisher,Year
Capturing the clinical complexity in young people presenting to primary mental health services: A data-driven approach,"CX Gao, N Telford, KM Filia, JM Menssink,  Albrecht, PD McGorry, MP Hamilton, M Wang, DZQ Gan, D Dwyer, S Prober, I Zbukvic, M Ziou, SM Cotton, DJ Rickwood",OSF,2023
"A prototype software framework for transparent, reusable and updatable computational health economic models","MP Hamilton, CX Gao, G Wiesner, KM Filia, JM Menssink, P Plencnerova, D Baker, PD McGorry, A Parker, J Karnon, S M Cotton, C Mihalopoulos",ArXiv,2023
"Mapping psychological distress, depression and anxiety measures to adolescent AQoL-6D utility using data from a sample of young people presenting to primary mental health services","""MP Hamilton, CX Gao, KM Filia, JM Menssink, S Sharmin, N Telford,...""",MedRxiv,2021
An investment framework to build mental capital in young people,"""D McDaid, M Hamilton, D King, A-La Park, M Scopel Hoffmann, W Silva-Ribeiro,...""",Orygen,2020
Submission to the Productivity Commission Inquiry into Mental Health,Orygen and Headspace [Contributing author],Orygen,2019
Submission to the Medicare Benefits Schedule Review Taskforce,Orygen [Lead author],Orygen,2015
Developing a youth suicide prevention strategy for Tasmania: A review of the literature,"""J Robinson, E Bailey, S Hetrick,S DeSilva, N Reavley, B Bassilios, ...""",Orygen,2015
Current and emerging issues for National Health and Medical Research Council Fellowship Schemes,Orygen [Contributing author],Orygen,2015
Senate inquiry submission: Medical Research Future Fund,Orygen [Lead author],Orygen,2015
The economic costs of communications inefficiency in Irish Hospital Pharmacy,M Hamilton,Hospital Pharmacy News,2015
Preliminary survey report on communications inefficiencies in Irish hospital medicines management: cost impact and priorities for action,M Hamilton,Leading Edge Group,2013
Adding value to community pharmacy,"""M Hamilton, J Aherne, T Fannon, and J Bishop..""",Leading Edge Group,2012
"Including, connecting, contributing: A blueprint to transform mental health and social participation in Australia","""D Cappo, PD McGorry, IB Hickie, S Rosenberg., J Moran. and M Hamilton.""",Independent Mental Health Reform Group,2011
Submission to the Senate Community Affairs Committee Inquiry into Commonwealth funding and administration of mental health services,PD McGorry P.D. and M Hamilton,Orygen,2011
Ten year policy framework to support the mental health of young Australians,PD McGorry P.D. and M Hamilton,Orygen,2011
